title,rating,type,min_age,max_players,max_time,weight,nlp_description
Dune: Imperium – Uprising,8.7,Strategy,13.0,6,120,3.5,indune imperium uprising want continue balance military might political intrigue wielding new tool pursuit victory spy shore plan vital contract expand resource learn way fremen ride mighty sandworms battle dune imperium uprisingis standalone spinoff todune imperiumthat expands game blend deck building worker placement introducing new six player mode pit two team one biggest struggle yet thedune imperiumexpansionsrise ixandimmortalitywork withuprising almost card base game element ofuprisingcan used withdune imperium choice imperium awaits
Gloomhaven: Jaws of the Lion,8.4,Strategy,14.0,4,120,3.64,gloomhaven jaw lionis standalone game take place event ofgloomhaven game includes four new character valrath red guard tank crowd control inox hatchet ranged damage human voidwarden support mind control quatryl demolitionist melee damage obstacle manipulation also used originalgloomhavengame game also includes monster type including seven new standard monster three new boss new campaign scenario invite hero investigate case mysterious disappearance within city work vermlings something far sinister going gloomhaven jaw lionis aimed casual audience get people gameplay quickly hard organize cardboard map tile removed instead player play scenario book feature new artwork unique scenario last barrier entry e learning game also lowered simplified rule set five scenario tutorial ease new player experience
Gaia Project,8.4,Strategy,12.0,4,150,4.4,gaia projectis new game line ofterra mystica originalterra mystica fourteen different faction live seven different kind planet faction bound home planet develop grow must terraform neighboring planet home environment competition group addition gaia planet used faction colonization transdimensional planet changed gaia planet faction improve skill six different area development terraforming navigation artificial intelligence gaiaforming economy research leading advanced technology special bonus group special skill ability playing area made ten sector allowing variable set thus even bigger replay value predecessorterra mystica two player game hosted seven sector description publisher
Twilight Struggle,8.2,Strategy,13.0,2,180,3.61,trumpet summons u call bear arm though arm need call battle though embattled call bear burden long twilight struggle john f kennedy unlikely ally toppled hitler war machine humanity devastating weapon forced japanese empire knee storm fire stood many great power stood two world scant month sigh collective relief new conflict threatened unlike titanic struggle preceding decade conflict would waged primarily soldier tank spy politician scientist intellectual artist traitor twilight struggleis two player game simulating forty five year dance intrigue prestige occasional flare warfare soviet union united state entire world stage two titan fight make world safe ideology way life game begin amidst ruin europe two new superpower scramble wreckage second world war end united state remained standing twilight struggleinherits fundamental system card driven classicswe peopleandhannibal rome v carthage quick playing low complexity game tradition game map world map period whereon player move unit exert influence attempt gain ally control superpower gmt card driven game decision making challenge best use one card unit given consistently limited resource event card add detail flavor game cover vast array historical happening arab israeli conflict vietnam u peace movement cuban missile crisis incident brought world brink nuclear annihilation subsystem capture prestige laden space race well nuclear tension possibility game ending nuclear war time scale approx year per turnmap scale point point systemunit scale influence marker
Through the Ages: A New Story of Civilization,8.3,Strategy,14.0,4,120,4.44,age new story civilizationis new edition ofthrough age story civilization many change small large game card three age extensive change military work age tta civilization building game player attempt build best civilization careful resource management discovering new technology electing competent leader building wonder maintaining strong military weakness area exploited opponent game take place throughout age beginning age antiquity ending modern age one primary mechanism inttais card drafting technology wonder leader come play become easier draft longer play order use technology need enough science discover enough food create population man enough resource ore build building use balancing resource needed advance technology also need build military military built manner civilian building player weak military preyed upon player map game lose territory player stronger military steal resource science kill leader take population culture difficult win strong military easy lose weak one victory achieved player whose nation culture end modern age
The Castles of Burgundy,8.2,Strategy,12.0,4,90,2.97,edition seethe castle burgundy game set burgundy region high medieval france player take role aristocrat originally controlling small princedom playing aim build settlement powerful castle practice trade along river exploit silver mine use knowledge traveler game player taking settlement tile game board placing princedom represented player board every tile function start tile placed princedom princedom consists several region demand type settlement tile game played five phase consisting five round phase begin game board stocked settlement tile good tile beginning round player roll two dice player currently first turn order roll good placement die good tile made available game board according roll good die round player take turn current turn order turn player may perform two four possible type action take settlement tile numbered depot game board corresponding one dice place staging area player board take settlement tile staging area player board space player board number matching one dice corresponding region type tile adjacent previously placed settlement tile deliver good number matching one dice take worker token allow player adjust roll dice addition action player may buy settlement tile central depot game board place staging area player board action trigger award victory point point immediately recorded settlement tile offer benefit additional action additional money advancement turn order track good tile die roll adjustment victory point bonus victory point awarded filling region settlement tile game end fifth phase played completion victory point awarded unused money worker undelivered good bonus victory point certain settlement tile awarded end game player victory point win rule include basic advanced version game thealea big box series separate bgg entry edition castle burgundy edition includes alongside base game eight expansion seven already released separately promotional item one new release upc
Eclipse: Second Dawn for the Galaxy,8.4,Strategy,14.0,6,200,3.65,game ofeclipseplaces control vast interstellar civilization competing success rival explore new star system research technology build spaceship wage war many potential path victory need plan strategy according strength weakness specie paying attention civilization endeavor eclipse second dawn galaxyis revised upgraded version theeclipsebase game debuted feature
Scythe,8.1,Strategy,14.0,5,115,3.45,time unrest europa ash first great war still darken snow capitalistic city state known simply factory fueled war heavily armored mechs closed door drawing attention several nearby country scytheis engine building game set era alternate history time farming war broken heart rusted gear innovation valor inscythe player control one five faction eastern europe attempting earn fortune claim stake land around mysterious factory player conquer territory enlist new recruit reap resource gain villager build structure activate monstrous mechs player begin game different resource power coin combat acumen popularity different starting location hidden goal starting position specially calibrated contribute faction uniqueness asymmetrical nature game faction always start place scytheuses streamlined action selection mechanism round phase keep gameplay moving brisk pace reduce downtime turn plenty direct conflict player seek player elimination scythegives player almost complete control fate player individual hidden objective card element luck variability encounter card player draw interact citizen newly explored land encounter card provides player several option allowing mitigate luck draw selection combat also driven choice luck randomness every part ofscythehas aspect engine building player upgrade action become efficient build structure improve position map enlist new recruit enhance character ability activate mechs deter opponent invading expand border reap greater type quantity resource engine building aspect create sense momentum progress throughout game order player improve engine add unique feel game even played one faction multiple time
7 Wonders Duel,8.1,Strategy,10.0,2,30,2.22,many way wonder duel resembles parent game wonder three age player acquire card provide resource advance military scientific development order develop civilization complete wonder different wonder duel title suggests game solely two player player draft card simultaneously deck card display face face card arranged start round player take card covered others timing come play bonus move allow player take second card immediately original game acquired card built discarded coin used construct wonder player also start four wonder card construction wonder provides owner special ability seven wonder built though one player end short player purchase resource time bank gain card game provide resource future building acquired cost resource increase opponent representing owner dominance area win wonder duel one three way time acquire military card advance military marker toward opponent capital also giving bonus certain position reach opponent capital win game immediately acquire six seven different scientific symbol achieve scientific dominance win immediately none situation occurs player point end game win
Brass: Lancashire,8.2,Strategy,14.0,4,120,3.85,brass lancashire first published asbrass economic strategy game tell story competing cotton entrepreneur lancashire industrial revolution must develop build establish industry network capitalize demand iron coal cotton game played two half canal phase rail phase win game score victory point vps counted end phase vps gained canal rail established flipped industry tile round player take turn according turn order track receiving two action perform following end turn replace two card played two deck turn order determined much money player spent previous turn lowest spender going first turn order mechanism open strategic option player going later turn order allowing possibility back back turn card played first time deck size adjusted number player canal phase end scoring round commences scoring canal lowest level industry removed game new card dealt rail phase begin phase player may occupy one location city double connection build though expensive possible end rail phase another scoring round take place winner crowned card limit build industry sell cotton build connection though card used develop lead strategic timing storing card resource common build rail line requires coal use coal nearest source may opponent coal mine turn get coal mine closer scoring e utilized brass lancashire edition roxley game reboots original warfrog game edition ofbrasswith new artwork component well rule change
Frosthaven,8.8,Strategy,14.0,4,180,4.42,frosthavenis story small outpost far north capital city white oak outpost barely surviving harsh weather let alone invasion force known unknown however group mercenary end rope help bring settlement back edge destruction deal harsh element far dangerous threat unforgiving cold well algox bigger yeti like cousin inox attacking mountain lurker flooding northern sea rumor machine wander frozen waste free party mercenary must face peril perhaps make peace new race work together even sinister force frosthavenis standalone adventure designer publisher ofgloomhaventhat feature sixteen new character three new race twenty new enemy one hundred new item new scenario campaign character item gloomhaven usable frosthaven vice versa addition using well known combat mechanism ofgloomhaven frosthavenfeatures element mystery solve seasonal event system live player control ramshackle village expands new building offering new way progress frosthavenhas whole new set item mechanism bringing item gloomhaven however frosthaven outpost remote location product may imported present standard item resource much valuable build item crafting system rather buying description publisher
Nemesis,8.3,Thematic,12.0,5,180,3.48,playingnemesiswill take heart sci fi survival horror terror soldier fire blindly corridor trying stop alien advance scientist race find solution makeshift lab traitor steal last escape pod last moment intruder meet ship reacting noise make also evolve time go longer game take stronger become game control one crew member unique set skill personal deck card individual starting equipment hero cover basic sf horror need example scientist great computer research hard time combat soldier hand nemesisis semi cooperative game crewmates must survive ship infested hostile organism win game complete one two objective dealt start game get back earth one piece find many obstacle way swarm intruder name given alien organism ship ai poor physical condition ship agenda held fellow player sometimes cruel fate gameplay ofnemesisis designed full climactic moment hopefully find rewarding even best plan ruined character meet terrible fate
Clank! Legacy: Acquisitions Incorporated,8.5,Thematic,13.0,4,120,2.73,clank legacy acquisition incorporatedextends deck building fun ofclank legacy style gameplay found franchise legendary adventuring company acquisition incorporated shepherd fledgling treasure hunter immortal corporate glory course multiple game game board deck world change play create unique campaign tailored adventuring party cunning bold importantly ready description publisher
A Feast for Odin,8.2,Strategy,12.0,4,120,3.86,feast odinis saga form board game reliving cultural achievement mercantile expedition pillage tribe know asvikingtoday term used quite differently towards end first millennium northerner went raid used say headed aviking scandinavian ancestor however much pirate explorer founder state leif eriksson said first european america long columbus known today normandy intruder called viking butnormans one famous william conqueror invaded england managed king norway failed year prior conquer throne england reason people time became strong seafarer unfortunate agricultural situation crop shortfall caused great distress game raid explore new territory also engage day day activity collecting good achieve financially secure position society end player whose possession bear greatest value declared winner gameplay description storyboardgamer review feast odin point driven game plethora pathway victory range risk balanced reward significant portion central hall whopping point square major part game attempting cover various tile likewise long hall island colony also offer large reward penalty year follows familiar pattern preparation worker placement meeting requirement feast main phase year worker placement affair start selection viking large action board whopping different option choose arranged left right one four column column requires additional viking activate proportionally powerful end round need fill feast table food alternating plant vegetable matter also chance lay valuable green blue tile main hall configuration tile must follow certain requirement main goal cover line coin icon increase income otherwise encircling certain printed icon generate build engine time following alternating pattern outward expansion hunting development cultivation come much willing take one time risk willing set reward upc
Concordia,8.1,Strategy,13.0,5,100,2.99,two thousand year ago roman empire ruled land around mediterranean sea peace border harmony inside province uniform law common currency economy thrived gave rise mighty roman dynasty expanded throughout numerous city guide one dynasty send colonist remote realm empire develop trade network appease ancient god favor gain chance emerge victorious concordiais peaceful strategy game economic development roman time player aged instead looking luck dice card player must rely strategic ability sure watch rival determine goal pursuing outpace game colonist sent rome settle city produce brick food tool wine cloth player start identical set playing card acquires card game card serve two purpose concordiais strategy game requires advanced planning consideration opponent move every game different sequence new card sale also due modular layout city one side game board show entire roman empire city player show roman italy city player card sold first player build th house game end player vps god jupiter saturnus mercurius minerva vesta etc win game
Great Western Trail: Second Edition,8.3,Strategy,12.0,4,150,3.71,america th century rancher repeatedly herd cattle texas kansa city send train earns money victory point needle say time arrive kansa city want valuable cattle tow however great western trail requires keep herd good shape also wisely use various building along trail also might good idea hire capable staff cowboy improve herd craftsman build building engineer important railroad line cleverly manage herd navigate opportunity pitfall great western trail surely gain victory point win game second edition great western trail includes solitaire rule making player count second edition remember old day west well time changing new solo opponent incredible landscape know start new herd cow sell great western trail critically acclaimed game cattle ranching alexander pfister player attempt wrangle herd across midwest prairie deliver kansa city beware cowboy sharing trail invite saddle change second edition description publisher
Lost Ruins of Arnak,8.1,Strategy,12.0,4,120,2.93,uninhabited island uncharted sea explorer found trace great civilization lead expedition explore island find lost artifact face fearsome guardian quest learn island secret lost ruin arnakcombines deck building worker placement game exploration resource management discovery addition traditional deck builder effect card also used place worker new worker action become available player explore island action require resource instead worker building solid resource base essential limited one action per turn make choice carefully action benefit afford later assuming someone else take action first deck small randomness game heavily mitigated wealth tactical decision offered game board variety worker action artifact equipment card set game unique encouraging player explore new strategy meet challenge discover lost ruin arnak description publisher
Arkham Horror: The Card Game,8.1,Customizable,14.0,2,120,3.56,something evil stir arkham stop blurring traditional line role playing card game experience arkham horror card gameis living card game lovecraftian mystery monster madness game alone friend three friend two core set become investigator within quiet new england town arkham talent sure also flaw perhaps dabbled little much writing necronomicon word continue haunt perhaps feel compelled cover sign otherworldly evil hampering investigation order protect quiet confidence greater population perhaps scarred encounter ghoulish cult matter compels matter haunt find strength weakness reflected custom deck card card resource work friend unravel world terrifying mystery adventure inarkham horror lcgcarries deeper mystery find cultist foul ritual find haunted house strange creature may find sign ancient one straining barrier world basic mode play inarkham lcgis adventure campaign might scarred adventure sanity may strained may alter arkham landscape burning building ground choice action consequence reach far beyond immediate resolution scenario hand action may earn valuable experience better prepare adventure still lie
Root,8.1,Strategy,14.0,4,90,3.83,rootis game adventure war riverfolk expansion player battle control vast wilderness likevast crystal cavern player inroothas unique capability different victory condition aid gorgeous multi use card truly asymmetric design never accessible nefarious marquise de cat seized great woodland intent harvesting rich rule many creature forest banded together alliance seek strengthen resource subvert rule cat effort alliance may enlist help wandering vagabond able move dangerous woodland path though may sympathize alliance hope dream wanderer old enough remember great bird prey controlled wood meanwhile edge region proud squabbling eyrie found new commander hope lead faction resume ancient birthright stage set contest decide fate great woodland player decide group ultimately take root inroot player drive narrative difference role create unparalleled level interaction replayability leder game invite family explore fantastic world ofroot description publisher
Too Many Bones,8.3,Strategy,12.0,4,120,3.86,many bonescomes loaded bear breaking new genre dice builder rpg game take everything think know dice rolling turn head dripping strategy fantasy based rpg put skin new race take adventure northern territory root defeat growing enemy force course infamous baddie responsible team go alone player coop solo play campaign unique skill dice class choose every battle mini challenge figure adventure consist battle reach final destination face one number possible kingpin order win along way faced storyline decision quickly weighing risk reward odds logic dice woven every aspect party also faced decision rest explore even fight pursue encounter card offer fun plot twist comic relief setting stage next battle
Terra Mystica,8.0,Strategy,12.0,5,150,3.98,land terra mystica dwell different people seven landscape group bound home environment develop grow must terraform neighboring landscape home environment competition group terra mysticais full information game without luck reward strategic planning player governs one group subtlety craft player must attempt rule great area possible develop group skill also four religious cult progress group special skill ability taking turn player execute action resource disposal different building allow player develop different resource dwelling allow worker trading house allow player make money stronghold unlock group special ability temple allow develop religion terraforming seafaring skill building upgraded dwelling developed trading house trading house developed stronghold temple one temple upgraded become sanctuary group must also develop terraforming skill skill boat use river group question along home landscape proximity group double edged sword interra mystica close group give extra power also mean expanding difficult terra mystica faq
Wingspan,8.0,Family,10.0,5,70,2.47,wingspanis competitive medium weight card driven engine building board game stonemaier game designed elizabeth hargrave feature bird illustrated natalia rojas ana maria martinez bird enthusiast researcher bird watcher ornithologist collector seeking discover attract best bird network wildlife preserve bird extends chain powerful combination one habitat action habitat focus several key aspect growth winner player point round description publisher th printing base game box includeswingspan swift start promo pack
Orléans,8.0,Strategy,12.0,5,90,3.02,medieval going around orl an must assemble following farmer merchant knight monk etc gain supremacy trade construction science medieval france inorl an recruit follower put work make use ability farmer boatman supply money good knight expand scope action secure mercantile expedition craftsman build trading station tool facilitate work scholar make progress science trader open new location use follower last least hurt get active monastery since monk side much le likely fall prey fate always want take action possible many path victory challenge combine element best possible regard strategy
Sky Team,8.2,Family,12.0,2,15,2.05,sky teamis co operative game exclusively two player play pilot co pilot control airliner goal work together team land airplane different airport around world land plane need silently assign dice correct space cockpit balance axis plane control speed deploy flap extend landing gear contact control tower clear path even little coffee improve concentration enough change value dice aircraft tilt much stall overshoot airport collides another aircraft lose game pilot license probably life montreal tokyo airport offer set challenge watch turbulence could end bumpy ride description publisher
The Lord of the Rings: Duel for Middle-earth,8.4,Strategy,10.0,2,45,2.06,dark rumour rise mordor eye turn middle earth hour come fellowship reunited hero prepare battle play fellowship ring defend free race destroy one ring play sauron pursue frodo sam deploying horde gate enemy city destiny middle earth hand game play successive chapter unfold similarly turn strengthen skill hoard treasure stretch presence across middle earth rally race cause advance quest ring chapter player take card display face face card arranged start round player take card available partially covered card player either play card paying cost placing play area obtaining benefit discard card take many coin reserve current chapter player also take landmark tile one faceup tile paying cost placing play area able immediately place fortress pawn corresponding region central board benefit effect immediately win game fulfilling one victory condition player gather different race symbol green card rally support race middle earth immediately win game player present region fortress least unit dominate middle earth immediately win game none three victory condition achieved end chapter player present region middle earth fortress least unit win game case tie share victory
Mage Knight Board Game,8.1,Strategy,14.0,4,240,4.37,mage knight board game put control one four powerful mage knight explore conquer corner mage knight universe control atlantean empire build army fill deck powerful spell action explore cave dungeon eventually conquer powerful city controlled great faction competitive scenario opposing player may powerful ally one able claim land cooperative scenario player win lose group solo rule also included combining element rpgs deck building traditional board game mage knight board game capture rich history mage knight universe self contained gaming experience
Barrage,8.1,Strategy,14.0,4,180,4.12,dystopic industrial revolution pushed exploitation fossil based resource limit thing powerful enough quench thirst power massive machine unstoppable engineering progress unlimited hydroelectric energy provided river barrageis resource management strategic game player compete build majestic dam raise increase storing capacity deliver potential power pressure tunnel connected energy turbine powerhouse player represents one four international company gathering machinery innovative patent brilliant engineer claim best location collect exploit water contested alpine region crossed river five round player must fulfill power requirement represented common competitive power track meet specific request personal contract time placing limited number engineer attempt enhance machinery acquire new efficient construction action build activate special unique effect building forward developing strategy
The Crew: Mission Deep Sea,8.1,Family,10.0,5,20,2.04,crew mission deep seaplunges player cooperative card game unlike member deep sea expedition fellow crew quest locate lost continent mu success depends precision teamwork shared sense timing mission present new puzzle made unique task perhaps one player must win specific card another must avoid entirely trick complete challenge standard trick taking rule like traditional card game extremely limited communication round becomes tightrope walk strategic cardplay silent coordination building acclaimed system ofthe crew quest planet nine sequel introduces dynamic mission system variable difficulty level fresh deck task card improved scalability different player count whether playing duo full five person team every game unfolds tightly wound tactical dance depth increasingly challenging mission countless combination task crew mission deep seaoffers replayable rewarding dive unknown perfect love trick taking game twist cooperation pressure
Everdell,8.0,Family,10.0,4,80,2.83,within charming valley everdell beneath bough towering tree among meandering stream mossy hollow civilization forest critter thriving expanding everfrost bellsong many year come gone time come new territory settled new city established leader group critter intent task building construct lively character meet event host busy year ahead sun shine brightest city winter moon rise everdell game dynamic tableau building worker placement turn player take one three action place worker player collection worker piece placed board location event destination card worker perform various action development player tableau gathering resource drawing card taking special action b play card player building populating city tableau construction critter card five type card traveler production destination governance prosperity card generate resource twig resin pebble berry grant ability ultimately score point interaction card reveal numerous strategy near infinite variety working city c prepare next season worker returned player supply new worker added game played winter onset following winter point player city point win
Viticulture Essential Edition,8.0,Strategy,13.0,6,90,2.89,viticulture player find role people rustic pre modern tuscany inherited meagre vineyard plot land old crush pad tiny cellar three worker dream first call winery true success player position determining want allocate worker throughout year every season different vineyard worker different task take care summer winter competition task often first worker get job advantage subsequent worker fortunately vineyard owner people love visit winery happens many visitor willing help around vineyard visit long assign worker take care visit form card brief helpful using worker visitor vineyard owner expand vineyard building structure planting vine filling wine order working towards goal running successful winery tuscany viticulture essential editionincludes base game viticulture popular module originaltuscanyexpansion including mama papa field previously known property expanded revised visitor automa card solo variant along minor rule change
Slay the Spire: The Board Game,8.7,Strategy,12.0,4,150,2.91,slay spire board gameis co operative deck building dungeon crawling adventure craft unique deck encounter bizarre creature discover relic immense power finally become strong enough slay spire player start character unique ability simple deck card improve adding removing card game slay spireis also rogue like mean die die start beginning take lesson learned try game divided act end act continue stop end adventure save continue another time player defeat final bos win game bos consider final depends many act want play stop playing end act player hp reduced dead party loses game
Hegemony: Lead Your Class to Victory,8.4,Strategy,14.0,4,180,4.22,extended editionincludescrisis controlexpansion nation disarray war waging class working class face dismantled welfare system capitalist losing hard earned profit middle class gradually fading state sinking deep deficit amidst chaos person provide guidance take side working class fight social reform stand corporation free market help government try keep together try enforce agenda matter cost country hegemonyis asymmetric politico economic card driven board game player put role one socio economic group fictional state working class middle class capitalist class state working class control worker capitalist class control company middle class combine element working class capitalist worker work capitalist company also build company yet smaller finally state trying keep everyone happy providing benefit subsidy needed trying also maintain steady income tax avoid going debt player separate goal limited series policy affect action like taxation labor market foreign trade etc voting policy using influence change also important careful planning strategic action political maneuvering best increase power class carry agenda one lead class victory hegemonyis heavily based actual academic principle social democracy neoliberalism nationalism globalism allows player see real world application engaging gameplay many way achieve hegemony one take description publisher
